"","Subject","Pre","Post","LeaYrs","DUH","AECI","LangLev","List","Trial","Time","Type"
"1","7f602b96",5,10,1,1.75,4.3333333333,"A2","0","1",NA,"MATCH"
"2","4c0ed8e8",2.2,7.8,2.25,0.25,3.3333333333,"A2","0","1",NA,"MATCH"
"3","5f09194f",7.8,8.3,9,0,3.3333333333,"A2","0","1",NA,"MATCH"
"4","cf96590e",8.3,9.4,0.5,0.375,3.6666666667,"A2","0","1",2095,"MATCH"
"5","7e2ddfb9",2.2,10,0.75,0.75,3.6666666667,"A2","0","1",NA,"MATCH"
"6","c736e9f8",8.3,10,1.25,0,3.3333333333,"A2","0","1",1842,"MATCH"
"7","ab130da0",6.7,10,5.5,0.75,3.6666666667,"A2","0","1",NA,"MATCH"
"8","42761fd6",8.3,9.4,1,0.35,3.5,"A2","0","1",1187,"MATCH"
"9","00b3eb76",3.3,9.4,4.2,0.25,4.1,"B1","0","1",2808,"MATCH"
"10","4eeee54c",7.8,9.4,5,0,3.3333333333,"B1","0","1",1075,"MATCH"
"11","8fbb4282",5,9.4,3,0.375,4,"B1","0","1",NA,"MATCH"
"12","b5480d50",3.9,10,6,1,4,"B1","0","1",2210,"MATCH"
"13","eedbf0c3",10,10,1.5,0.375,5,"B1","0","1",817,"MATCH"
"14","66b7c5fa",10,10,2,3.25,4,"B1","0","1",1043,"MATCH"
"15","a29ce690",10,10,1,1.25,4.3333333333,"B1","0","1",1345,"MATCH"
"16","c42d2738",6.1,8.3,3,0,3,"B1","0","1",758,"MATCH"
"17","aa132e6a",10,10,6,1.5,3.3333333333,"B1","0","1",NA,"MATCH"
"18","2151232b",10,10,4.2,0.5,4,"B1","0","1",2120,"MATCH"
"19","685deea7",6.1,10,1.5,0.125,3.5,"B1","0","1",1423,"MATCH"
"20","c542a4f8",10,10,6,3,5,"B2+","0","1",725,"MATCH"
"21","8508ee6c",5,10,5,0.75,3.6666666667,"B2+","0","1",2623,"MATCH"
"22","8f551579",10,10,3.08,0.125,4.3333333333,"B2+","0","1",NA,"MATCH"
"23","8a2c97d5",10,10,1,0.5,4.6666666667,"B2+","0","1",1477,"MATCH"
"24","4d419e7a",6.7,8.9,9,0.25,5,"B2+","0","1",1106,"MATCH"
"25","9fd8805f",10,10,3.5,0.75,4.3333333333,"B2+","0","1",NA,"MATCH"
"26","0bd48e31",10,10,4.2,0,4.1,"B2+","0","1",730,"MATCH"
