"","Subject","Pre","Post","LeaYrs","DUH","AECI","List","Trial","Time","Type"
"1","3e545d0a",6.11,9.44,1,1,4,"0","1",1477,"MATCH"
"2","f443d6ca",8.33,10,2,1,4,"0","1",NA,"MATCH"
"3","b005a881",4.44,7.22,4,5,4,"0","1",2302,"MATCH"
"4","67d8ff84",1.11,10,3,0,3.3333333333,"0","1",1013,"MATCH"
"5","2ce00fbc",6.666,7.22,2,1,3.3333333333,"0","1",591,"MATCH"
"6","26046eb9",3.89,10,1.5,0.5,3.6666666667,"0","1",1137,"MATCH"
"7","7cb110e2",4.44,10,3,0,4.3333333333,"0","1",2087,"MATCH"
"8","c45d62ce",3.88,7.77,3,0,1,"0","1",NA,"MATCH"
"9","eb246652",10,10,3,0,4,"0","1",1573,"MATCH"
"10","c147963e",5.56,10,1,2,3.6666666667,"0","1",588,"MATCH"
"11","741a7947",3.33,6.11,3,0,3.3333333333,"0","1",2742,"MATCH"
"12","f707e78d",6.67,2.22,3,0,3.6666666667,"0","1",NA,"MATCH"
"13","b1d25b94",5.56,9.44,5,0.5,3.6666666667,"0","1",667,"MATCH"
"14","48cf1411",8.89,9.44,1,0,3.6666666667,"0","1",NA,"MATCH"
"15","233ce8f7",3.89,10,2,0,4,"0","1",1326,"MATCH"
"16","fa92e41c",3.89,8.89,3,0.5,3.3333333333,"0","1",NA,"MATCH"
"17","778c76ef",3.89,5,3,0,3.6666666667,"0","1",NA,"MATCH"
"18","eff72d9a",2.22,10,3,2.5,4.6666666667,"0","1",807,"MATCH"
"19","ee9deba5",3.33,7.78,1,1.25,4,"0","1",1169,"MATCH"
"20","ca5397d7",7.78,10,1,2,5,"0","1",2696,"MATCH"
"21","693666a8",4.44,7.78,2,0,2.3333333333,"0","1",1176,"MATCH"
"22","c0524268",3.33,2.22,1,1,3.6666666667,"0","1",NA,"MATCH"
"23","c530ea24",3.89,10,1,0,3.3333333333,"0","1",1620,"MATCH"
"24","7218bc4d",7.22,9.44,3,0.25,3,"0","1",1355,"MATCH"
"25","5f1e472e",6.11,10,2,0,3.3333333333,"0","1",873,"MATCH"
"26","a622c52a",9.44,10,1,6.5,4,"0","1",NA,"MATCH"
"27","703c4f99",8.33,10,3,0.5,4,"0","1",1532,"MATCH"
"28","4103a03c",6.11,10,3,4.5,4,"0","1",722,"MATCH"
"29","762813ff",6.67,10,2,1,5,"0","1",532,"MATCH"
"30","a9000b65",8.89,9.44,3,0,3.3333333333,"0","1",1746,"MATCH"
"31","36bbb9aa",3.33,10,3,1,4,"0","1",2393,"MATCH"
"32","08482304",2.22,3.88,3,0,4,"0","1",1832,"MATCH"
"33","b24230d8",4.44,9.44,3,2,3,"0","1",1247,"MATCH"
"34","6de2d396",8.88,10,4,1.5,4.3333333333,"0","1",2213,"MATCH"
"35","b2ed9879",8.33,10,4,0,3.6666666667,"0","1",1146,"MATCH"
"36","9355ed08",10,10,2,0,3.6666666667,"0","1",2114,"MATCH"
"37","2dc3d9da",5.56,10,3,0,2.6666666667,"0","1",1007,"MATCH"
"38","b8f67042",7.78,9.44,3,2,4.6666666667,"0","1",1614,"MATCH"
"39","27ead6f4",6.67,9.44,2,2.5,3.3333333333,"0","1",NA,"MATCH"
"40","2268d4d0",5,9.44,3,3,5,"0","1",NA,"MATCH"
"41","de953033",6.67,10,7,1,4,"0","1",938,"MATCH"
"42","b90ea9a3",6.11,10,3,3,4,"0","1",1445,"MATCH"
"43","1521ab81",10,10,3,5,3.6666666667,"0","1",1462,"MATCH"
"44","56aa6a3a",3.89,10,3,0,3,"0","1",813,"MATCH"
"45","658e1e76",3.89,10,2,0,NA,"0","1",419,"MATCH"
"46","adc9431a",5.55,10,4,11.5,4,"0","1",NA,"MATCH"
"47","c73ec47c",9.44,10,4,3,4,"0","1",787,"MATCH"
"48","9076a73c",2.78,8.89,3,2,4,"0","1",NA,"MATCH"
"49","a17d89a6",6.67,9.44,4,2,3.3333333333,"0","1",433,"MATCH"
"50","8d9e7fde",8.33,10,3,0,3.6666666667,"0","1",1237,"MATCH"
"51","256d204e",4.44,10,1,2.5,4,"0","1",912,"MATCH"
"52","558361f3",6.11,10,5,3,3.6666666667,"0","1",745,"MATCH"
"53","7a9bb206",6.67,6.11,1,1.5,3.3333333333,"0","1",612,"MATCH"
"54","88bd19b9",3.33,10,9,2,4.3333333333,"0","1",551,"MATCH"
"55","869dc024",6.67,10,4.75,6,4.6666666667,"0","1",NA,"MATCH"
"56","820c6812",8.89,9.44,1,4,4,"0","1",NA,"MATCH"
"57","e8ea90ca",NA,NA,NA,NA,NA,"0","1",NA,"MATCH"
"58","8cac1011",4.44,10,3,0,2.6666666667,"0","1",1114,"MATCH"
"59","cff91060",3.33,10,3,1,4.3333333333,"0","1",NA,"MATCH"
"60","5fe80c1a",7.78,10,2,0.5,4,"0","1",1301,"MATCH"
"61","217d559f",7.22,9.44,1,2.5,5,"0","1",2176,"MATCH"
"62","ef4bfb92",6.66,8.88,3,0.5,3,"0","1",2253,"MATCH"
"63","9ce86642",3.33,10,1,0,4.6666666667,"0","1",NA,"MATCH"
"64","024c8398",5,10,2,2,3.6666666667,"0","1",2887,"MATCH"
"65","66a18c79",10,10,3,4,5,"0","1",669,"MATCH"
"66","e60663a7",6.67,8.89,3,3,5,"0","1",820,"MATCH"
"67","99fdfb6a",7.78,9.44,3,1.25,4.3333333333,"0","1",833,"MATCH"
"68","534a944d",7.22,8.89,1,3,4.6666666667,"0","1",1128,"MATCH"
"69","2aa9ab68",2.77,5,3,0,4.6666666667,"0","1",NA,"MATCH"
"70","00f4bacf",5.56,10,16,4,5,"0","1",NA,"MATCH"
"71","eb0bd775",5.56,10,3,2.5,4.3333333333,"0","1",2038,"MATCH"
