"","Subject","List","Trial","Time","Type","Lang"
"1","7f602b96","0","1",NA,"MATCH","L2"
"2","4c0ed8e8","0","1",NA,"MATCH","L2"
"3","5f09194f","0","1",NA,"MATCH","L2"
"4","cf96590e","0","1",2095,"MATCH","L2"
"5","7e2ddfb9","0","1",NA,"MATCH","L2"
"6","c736e9f8","0","1",1842,"MATCH","L2"
"7","91388be0","0","1",NA,"MATCH","L2"
"8","42761fd6","0","1",1187,"MATCH","L2"
"9","00b3eb76","0","1",2808,"MATCH","L2"
"10","4eeee54c","0","1",1075,"MATCH","L2"
"11","8fbb4282","0","1",NA,"MATCH","L2"
"12","b5480d50","0","1",2210,"MATCH","L2"
"13","eedbf0c3","0","1",817,"MATCH","L2"
"14","66b7c5fa","0","1",1043,"MATCH","L2"
"15","a29ce690","0","1",1345,"MATCH","L2"
"16","c42d2738","0","1",758,"MATCH","L2"
"17","aa132e6a","0","1",NA,"MATCH","L2"
"18","2151232b","0","1",2120,"MATCH","L2"
"19","3260deba","0","1",1423,"MATCH","L2"
"20","c542a4f8","0","1",725,"MATCH","L2"
"21","8508ee6c","0","1",2623,"MATCH","L2"
"22","8f551579","0","1",NA,"MATCH","L2"
"23","8a2c97d5","0","1",1477,"MATCH","L2"
"24","4d419e7a","0","1",1106,"MATCH","L2"
"25","9fd8805f","0","1",NA,"MATCH","L2"
"26","0bd48e31","0","1",730,"MATCH","L2"
"27","ee4837b0","0","1",544,"MATCH","L2"
"28","93b24402","0","1",NA,"MATCH","L2"
"29","d3967b17","0","1",NA,"MATCH","L2"
"30","bfc95808","0","1",618,"MATCH","L2"
"31","c6385cb7","0","1",1553,"MATCH","L2"
"32","d9ffc7ed","0","1",862,"MATCH","L2"
"33","50bfaf0e","0","1",905,"MATCH","L2"
"34","cc817718","0","1",NA,"MATCH","L2"
"35","0aa00f25","0","1",817,"MATCH","L2"
"36","868df361","0","1",1912,"MATCH","L2"
"37","3f91cfa7","0","1",2356,"MATCH","L2"
"38","7cda099a","0","1",946,"MATCH","L2"
"39","6bdf23ec","0","1",1049,"MATCH","L2"
"40","8e1b5327","0","1",517,"MATCH","L2"
"41","c1b15df9","0","1",1224,"MATCH","L2"
"42","1fc23b09","0","1",824,"MATCH","L2"
"43","0888364f","0","1",810,"MATCH","L2"
"44","5d5a0842","0","1",NA,"MATCH","L2"
"45","d7f4b666","0","1",1188,"MATCH","L2"
"46","df99e021","0","1",1058,"MATCH","L2"
"47","d9c7c5ff","0","1",NA,"MATCH","L2"
"48","e034a323","1","1",2194,"MATCH","L2"
"49","13bc3a3e","1","1",994,"MATCH","L2"
"50","833efcf2","1","1",2214,"MATCH","L2"
"51","1ba8b63a","1","1",1713,"MATCH","L2"
"52","5af29f72","1","1",927,"MATCH","L2"
"53","f36e76f9","1","1",NA,"MATCH","L2"
"54","cfe9b984","1","1",748,"MATCH","L2"
"55","3b1c676f","1","1",NA,"MATCH","L2"
"56","c15f1815","1","1",NA,"MATCH","L2"
"57","c7d554ea","1","1",1022,"MATCH","L2"
"58","da0f3d33","1","1",1357,"MATCH","L2"
"59","337d4896","1","1",933,"MATCH","L2"
"60","8e107dc5","1","1",1266,"MATCH","L2"
"61","4f7e6316","1","1",2032,"MATCH","L2"
"62","016cb1a1","1","1",835,"MATCH","L2"
"63","e4e0da4a","1","1",1008,"MATCH","L2"
"64","ea5febef","1","1",822,"MATCH","L2"
"65","e6c18c70","1","1",NA,"MATCH","L2"
"66","d66fa12b","1","1",1210,"MATCH","L2"
